observed_response_value,average_of_predicted_response_values,standard_deviation_of_predicted_response_values
-1.122578,-0.48268814377920183,0.8876618767548232
3.8623729,0.6823815024535709,1.5287744519374407
1.031602,1.0104942652687907,0.9090571562903201
-0.73139256,-0.28630039420614556,0.8737546542836031
0.52066636,-0.33084417756144163,0.8074801501615704
0.8499804,0.20894829461651726,0.8711686981075321
0.80208015,-0.26916414502228475,0.8347498515634834
-1.1930978,-0.1912551850825906,1.066495639871865
0.960417,0.37494012565797014,0.7994336018806021
-1.4119753,-0.15362632259473066,0.7977022718729192
-0.4805817,-0.8765761963265979,0.77111048517529
0.20199667,0.5838577337273442,0.7783793869199632
0.6018305,-0.6264957884779159,0.819730407252959
0.8759264,-0.24396502409915846,0.8035338380969842
0.581207,-0.5727548281499191,0.7743555048291582
-0.405405,-0.40343058256208053,0.8229091082257827
0.4973813,0.5747064871815237,0.7779077347104011
-0.13796206,0.1566773916346393,0.786181214098157
-0.5098542,0.4285802280996105,0.8333112391487334
-0.3116002,-0.2805204554357309,0.7866486656648733
-1.5683163,-0.39959529142096073,0.9669161832919714
-0.2510599,-0.5296953151214602,0.8348575934079396
-0.31625748,-0.23308103581703146,0.8173877820246157
0.27983463,0.14403464827240792,0.8017458607805817
-0.16058156,-0.02596762773785653,0.8279558509054201
-0.9063615,-0.7066690458090463,0.8141904199357255
0.59650826,-0.09896835977038504,0.7840765509461669
-1.7253227,-0.5099210565211364,0.7905981198687454
-0.17854412,0.02800922777754897,0.7843562217827105
-0.25771254,-0.1682961240159547,0.8124811016103627
1.8206254,0.2577014206504036,0.7828475841134244
-0.5251555,-0.047193848657049765,0.8050858930790719
-1.4465699,-0.06292086292103015,0.8254665769516907
-0.3302283,-0.6357650397614291,0.8210908510641123
0.19600925,0.11320066888553329,0.7946942074656191
-0.58636135,0.43089777739397456,0.7991255500444467
1.5272365,-0.13134134922243051,0.7976417266622726
-0.5896878,0.05134376161377206,0.8206692095531175
-0.2982946,-0.2172963859207345,0.764358201237277
-0.71076906,1.1176888733639525,1.0736032726841989
-0.18386629,0.06620046492930841,0.8399361074112162
1.3835359,1.2465617335669488,1.065103963344708
1.4720181,0.6950409209347742,0.8362995133906878
