observed_docking_score,averaged_predicted_docking_score,belongs_to_lowest_10_percent
-6.883,-5.8019766057764794,0
-4.925,-5.8479220954702,0
-4.891,-5.8660309562191,0
-3.51,-5.606914774758519,0
-6.849,-5.837947265069107,0
-6.24,-5.819003600525572,0
-4.535,-5.564816928053073,0
-7.047,-5.714741431896985,0
-5.784,-6.155164271563647,0
-6.054,-5.518843190445925,0
-5.018,-6.02225958433423,0
-7.323,-5.993395746827878,0
-7.644,-5.760728184660662,1
-7.733,-5.751085522658581,1
-4.517,-5.619556230972724,0
-5.047,-6.182366218245186,0
-4.355,-5.672089236198256,0
-7.379,-6.242425232434162,0
-4.458,-5.991173063015046,0
-4.805,-5.957692874552864,0
-6.503,-5.6930969160357225,0
-4.191,-5.842361958440749,0
-6.92,-5.8841959333218945,0
-3.613,-5.764442836573343,0
-5.895,-5.81173953964496,0
-5.106,-5.6963849913473386,0
-3.059,-5.760871433536719,0
-4.864,-5.9199882986594,0
-6.51,-5.70963310082856,0
-5.463,-6.011561411959153,0
-5.179,-5.660453995081707,0
-3.936,-5.7175267983097395,0
-3.462,-5.475088915854198,0
-4.62,-5.292603895446804,0
-5.078,-5.531649882464438,0
-5.976,-6.027716239134348,0
-7.16,-5.826554804844078,0
-6.132,-5.9452390349750335,0
-5.949,-5.62296055285602,0
-5.126,-5.482698118933709,0
-2.763,-5.346953423353033,0
-5.673,-6.092298792660727,0
-6.672,-6.172547054953539,0
-3.532,-5.72306599660064,0
-5.848,-5.965449466345875,0
-6.736,-6.038191514712723,0
-5.843,-5.992906891534583,0
-3.947,-6.0684947663554665,0
-6.186,-6.0943908057992875,0
-5.255,-5.822606768080248,0
-5.289,-5.764097030706242,0
-5.735,-5.672167446652776,0
-5.437,-5.571699548825185,0
-4.866,-6.020318676291478,0
-5.077,-6.00142135926445,0
-2.714,-6.2302442961309845,0
-4.897,-6.073116976623446,0
-8.02,-6.131556469060406,1
-7.435,-6.079158293028448,0
-10.037,-5.827522797872924,1
-7.04,-5.943708820425262,0
-6.396,-5.903097198702621,0
-6.314,-5.756221873541388,0
-6.768,-5.950855968949923,0
-5.063,-5.801910014601605,0
-4.556,-6.14170293071646,0
-7.043,-5.881322442599908,0
-5.383,-5.710990783882466,0
-5.135,-5.587876593818702,0
-5.704,-5.972017851222847,0
-5.224,-5.760771544210343,0
-6.024,-5.484420333866868,0
-1.163,-6.247729951756093,0
-6.517,-6.281317763705463,0
-8.843,-5.380165014373965,1
-5.76,-5.987800818211986,0
-7.485,-5.801607884231459,0
-4.652,-5.888329015986258,0
-4.239,-5.678665452904314,0
-4.763,-5.720339420053683,0
-5.565,-5.922535687309209,0
-6.27,-5.785901874571417,0
-8.522,-6.144015970698433,1
-7.735,-5.618796690460195,1
-5.785,-6.028816514482471,0
-4.912,-5.865589524639904,0
-5.534,-5.96087561371124,0
-5.812,-6.139656471766605,0
-7.525,-5.91312352947575,0
-7.778,-5.738461363473048,1
-5.997,-6.178844941856173,0
-6.146,-6.283469723356255,0
-3.853,-5.5542381770038425,0
-8.102,-5.615326863338397,1
-5.809,-5.542921180054132,0
-5.593,-5.495953164185849,0
-7.782,-5.85118989158601,1
-6.987,-6.113200199857339,0
-3.629,-6.008650019882768,0
-4.036,-5.583680788938123,0
-6.131,-5.947417579334424,0
-7.44,-6.0193529356256406,0
-7.064,-6.0403675541554795,0
-6.806,-6.408801497175867,0
-6.007,-5.626747126964219,0
-6.534,-5.948898137400323,0
-8.503,-5.575423405916996,1
-5.863,-5.975608960899868,0
-6.634,-5.596108091051911,0
-6.153,-5.565666853632728,0
-3.183,-5.85104539672372,0
-2.97,-5.825080816428342,0
