observed_docking_score,averaged_predicted_docking_score,belongs_to_lowest_10_percent
-4.76,-5.7290209382065775,0
-6.006,-5.216494515235323,0
-4.327,-6.173941236324312,0
-5.153,-5.413536849861692,0
-4.886,-5.833401490621749,0
-4.609,-5.781062666753445,0
-6.761,-5.920073106719625,0
-4.531,-5.329960538626708,0
-5.158,-5.5599952016654335,0
-4.799,-5.719032088415564,0
-5.774,-5.502854824862456,0
-5.472,-5.877795207007148,0
-8.313,-6.126983052906207,1
-6.185,-5.438892682320187,0
-6.462,-6.174623063223579,0
-7.256,-6.124926110813066,0
-6.47,-5.888575411988789,0
-8.006,-5.905707464623134,1
-7.198,-5.90989607878378,0
-6.781,-6.0036305352607515,0
-6.604,-5.59588541877059,0
-6.398,-5.740698521334931,0
-5.109,-5.8521464847782,0
-4.756,-5.847538639430193,0
-5.288,-5.842019700496408,0
-3.93,-5.476605703129304,0
-7.561,-5.521144066822378,1
-5.304,-6.07367803838433,0
-6.841,-5.694077968381397,0
-3.606,-5.591337232927701,0
-6.511,-6.188899121794187,0
-6.931,-5.900171346995298,0
-6.571,-5.910683883359409,0
-6.04,-6.06540298714904,0
-6.34,-5.955298236829394,0
-6.411,-5.650467439440654,0
-4.265,-5.358247936655723,0
-6.957,-5.92568897756465,0
-6.535,-5.7659109774466994,0
-4.249,-6.034864905187056,0
-6.301,-6.081954287814336,0
-6.831,-6.063580039029507,0
-7.245,-5.959874225154831,0
-3.118,-5.897471246321374,0
-3.819,-5.46760146241767,0
-7.401,-6.166014156025667,0
-5.141,-5.823154639192956,0
-6.911,-5.981963854198917,0
-7.318,-5.895027864183089,0
-4.124,-5.903508430654207,0
-6.353,-6.166377201080329,0
-6.191,-5.239713446143908,0
-3.597,-5.937210325619334,0
-5.504,-5.74993668919059,0
-4.859,-5.94629118325412,0
-4.912,-5.641908533891464,0
-4.668,-6.133030609980335,0
-8.099,-5.638553864082635,1
-6.036,-5.8264340523233455,0
-7.093,-5.850489708348049,0
-7.291,-5.908853139302662,0
-4.171,-5.68461259683988,0
-7.198,-6.108708059568776,0
-7.776,-5.745632183612469,1
-4.125,-5.245374874131361,0
-1.804,-5.718993180637557,0
-6.186,-5.253629259489049,0
-5.945,-6.014565782845105,0
-7.731,-5.913285965508993,1
-4.854,-6.037292681157971,0
-5.154,-5.2892091192630355,0
-8.283,-5.7946197814875395,1
-5.609,-5.909232048382749,0
-3.598,-5.619957828202223,0
-7.374,-5.754930872574218,0
-5.719,-5.990742112292647,0
-7.331,-5.925397346005788,0
-6.385,-5.338943394210927,0
-4.699,-4.986489454536999,0
-6.284,-5.967641928303487,0
-6.328,-5.832990812910499,0
-5.147,-5.919273349535983,0
-6.495,-5.820314178171673,0
-6.707,-5.951365795134273,0
-5.894,-5.765606828012583,0
-7.079,-5.652259696091962,0
-6.888,-5.314868796987336,0
-6.327,-5.621572284132963,0
-3.944,-5.340894476082292,0
-6.782,-5.844461385555263,0
-7.811,-6.112682220493925,1
-6.016,-6.094427808353521,0
-8.022,-5.949513929679278,1
-6.818,-5.858046083627455,0
-7.149,-5.777659900500014,0
-7.287,-5.887506290003166,0
-7.923,-5.520639421413563,1
-6.567,-5.936253814871316,0
-6.672,-5.939848455262674,0
-6.768,-5.5348866852651035,0
-7.142,-5.868347460476531,0
-7.505,-5.972271945257886,0
-4.117,-6.007121223225848,0
-6.199,-5.802873592130559,0
-7.431,-5.522312785249206,0
-6.773,-5.976777898744898,0
-6.332,-5.9303739668517315,0
-6.436,-3.6720630226906237,0
-4.834,-5.724774921716065,0
-5.783,-5.53809449715368,0
-7.603,-5.880295490072473,1
-6.517,-5.584845406778586,0
-6.834,-5.660700872591496,0
-7.235,-5.839984951638886,0
-7.195,-6.029406906992111,0
-8.565,-5.930537807469176,1
-6.141,-5.854063449954947,0
-4.331,-5.921150255404924,0
-6.675,-5.961202552278679,0
-6.577,-5.9520417031404005,0
-5.94,-5.449864159823845,0
-6.682,-5.949769309261865,0
-5.454,-5.62850601188942,0
-6.393,-5.897509904397296,0
-3.758,-5.823914344507957,0
-7.448,-5.925703403992067,0
-1.425,-5.489307136270328,0
-2.329,-6.491532191175553,0
-5.224,-5.901193845681301,0
-4.103,-5.893055383708411,0
-4.232,-5.979819632624362,0
-5.431,-5.837129415504846,0
-2.683,-5.510266008974527,0
-4.744,-5.856739769737705,0
-5.507,-6.16041392475524,0
-6.58,-5.894372789832988,0
-7.305,-5.8563823805488875,0
-4.374,-5.898767667893846,0
-5.062,-5.52454506436736,0
