observed_response_value,average_of_predicted_response_values,standard_deviation_of_predicted_response_values
-0.54748845,-0.08034119469750496,0.8601161698685648
0.7937821,-0.8231504677088429,0.8264515732931874
0.30623043,0.19000372017185593,0.8243678078517221
0.6442304,-0.12425388100417788,0.8683669123022829
-0.93176246,-0.4394878324682882,0.8094370125470738
-1.2885405,-0.8609649678653285,0.7773843679032255
1.5133737,0.002342566831144012,1.0020750269698941
0.46047625,0.09794967135690041,0.7573214432216699
0.45444062,0.45530277722255075,0.9842067391723948
-0.23966679,0.09558006239703486,0.9519559204574172
-0.057254095,-0.11683228458414617,0.9360778164215191
0.23983723,0.7447614756997606,1.2753093492320677
0.16137315,1.2606579217479685,1.058058945084364
1.6589016,1.362814258541084,1.216652834250104
0.2230716,-0.16255290142279472,0.768032328107997
-0.9203615,0.03423146446357283,0.8205519341310598
0.3531747,0.8778726256542567,0.8976800917991885
1.7460843,0.8924296030520593,1.031094243741534
0.47388926,-0.5545901667645593,0.9067995241252169
-0.10553986,-0.4257781628133945,0.7808242577674733
-0.7882467,-0.8495245318421496,0.8252656697713543
-0.2778931,-0.8066642829806104,0.7720317523257023
2.805688,-0.23897475852413508,0.9140584561669418
0.25928584,0.48098771847552463,0.848926537479126
0.84542114,0.22194032775050543,1.1841547057738695
1.6347587,0.37401511190510056,1.0231374957208537
0.85615116,-0.4054378094654413,0.9676413439399636
-0.7795284,0.18339937901146516,0.7358130741324448
1.2685919,0.24345445343283686,0.8868077145583179
-0.270516,-0.7139189471529425,0.8202442296868615
-0.37178195,-0.2201241145276149,0.8012086394192114
-0.0015912444,-0.07036565124746169,0.7385347176907245
-1.0142506,0.5203884369097816,1.2091798363768882
0.582532,0.39651665570295175,0.9761346721014399
2.226259,0.4312443999607788,0.9438093994906018
1.7869929,0.15978883372897598,0.8906177705283046
1.1639729,0.16771019663261766,0.8904106580877489
-0.64607173,0.8261249276572481,1.0560581223572776
-0.42275038,-0.6713315967633516,0.8533078895951397
-0.03311106,0.07495239276955294,0.7784400558573188
0.38804775,0.7931135563274418,1.1840834317480884
0.06346014,-0.02944344065139076,0.8377632088489317
1.6495128,0.8184912081937663,1.0597170418338997
-1.2590324,-0.8519127790151402,0.7980798879036112
-0.7701392,0.5790126837962398,1.0919023290198246
1.6689612,1.0146166105180223,1.0388965098929572
0.10772238,-0.18271679198776392,0.8322972989691055
-0.49115503,-0.42793754592692484,0.9794981616794686
-0.73593706,-0.3513081886519729,0.8453901451324685
-0.32617885,-0.3963792132299964,0.8004480148914482
-1.5950207,-0.2823956670217742,0.9005630858154796
0.49199638,0.7127773757873677,1.416175651814118
-0.5568773,-0.12999007404332547,0.8762324009394328
1.053318,-0.2335134923917372,0.8969338130755177
0.9896075,0.3790769533359255,0.9383415051401656
0.64221865,0.041390277066436894,0.9720812608338494
0.6080162,0.488057320645181,0.7323343946945965
-1.2322071,-0.24107334901906205,0.8226655059958063
-0.9002426,0.30678277426336437,0.8324943197049578
1.6099453,1.0207125996643585,1.1646831283289458
-0.007627164,0.32991278522589185,1.0351789625567824
0.07486107,-0.5118799460983086,0.9164827711908664
1.3537626,0.6727409526244068,0.8509165708079137
0.46785334,-0.03950309700750324,0.8304462202362614
1.8688104,0.6000713067930966,1.0801166565776357
0.58923846,-0.43027768174074504,0.9153194090145008
-0.7473377,-0.5928063966005221,0.8395265043244172
0.33909142,-0.2494174512513708,0.7673459188587299
-0.18869868,0.9601062374068783,1.0472741680983828
0.18953972,-0.1868301905903363,0.8983965173009628
0.7119645,-0.652001851317698,0.834177936907439
-0.45695254,0.6529679903552479,1.0008715770337047
-0.36641693,0.21715673772180571,0.8178490219983021
-0.16992065,-0.028989175100225365,0.9364141238218365
-0.5260281,-0.09835391133009164,0.7529926679526842
-1.3200603,-0.43982240677537576,0.8150702116999757
0.9460165,-0.11471068507404562,0.7984040534746794
0.20429358,-0.5342074050337408,0.8049252762753636
1.9258145,1.2403935806491402,1.421777734807048
-0.5562067,0.3250393127022032,1.0431327654991238
-0.14108351,0.8291235697027504,0.9243435991288438
-0.5521829,-0.41658829945153797,0.8303149623469414
1.0868496,0.3599788559363004,0.9972574097208665
-0.090115085,-0.014348224628164303,0.8542891549509164
-0.08072623,-0.0093139825332859,0.9194994145765423
-1.1503897,-0.8057641894084411,0.8260672030084151
1.6810325,-0.03142394587037857,0.9612535451037739
-0.057254095,-0.20812789979994473,0.7225049194004356
-0.55553615,-0.6467714607994748,0.7867174818558983
0.7575679,-0.014306480188339554,0.8798896127607493
-1.2630563,-0.2194833523393232,1.063517252691335
1.3899769,-0.07561827174359477,1.0145215026382648
-0.93981016,0.0443763817095631,0.8401170695567698
-1.8512033,-0.3972473810566601,0.917471516709656
-0.002261831,0.3773725608459466,0.9423856115098722
-0.74264324,-0.6545793231891135,0.7809999998165561
-1.1456953,-0.7876327390825715,1.0367124098200562
-0.015674524,0.2563113794222571,1.0051208445363635
-0.5823615,-0.14121476356172188,0.7839488417162112
0.6060041,1.0503025958740884,0.8167250970152232
-0.047194656,-0.5162382648624118,0.8630142957259165
-0.22826616,0.006350141154673885,0.7827280767019595
1.8453383,-0.3765121442061321,0.9649159853008648
-0.8311671,-0.2049520212891723,0.8035992151056465
1.2511554,0.5812525064772663,1.2700204980419132
-0.16455564,-0.05189547513230705,0.7497437497321469
-0.30069464,0.12839428983317822,0.9554798194446144
-0.7828813,-0.313332499948374,0.8895364740428546
0.7736629,0.8277073948805784,0.9569178711980053
-0.24100828,-0.4616834845711319,0.8952867824203922
0.9782069,-0.18545012340795353,0.7967679157629206
1.901001,0.8205366501705459,1.2281652435891228
0.96881807,0.3318189207854735,0.7748401117316792
-0.2913058,0.44496490195617977,1.171389770335448
-1.6734854,-0.5768448625168339,0.7745246792827583
-0.06664295,0.2925390979048093,0.8772002113580102
-0.4086671,0.3638048112753909,1.136799758837596
0.38268274,-0.08449439545858455,0.7559542110827898
-0.00025007094,-0.4232859124754099,0.7707270670270299
-0.51395655,0.03373189026058963,0.8342346730598025
-0.9096315,-0.07457903646023918,0.8117424881775663
0.7448258,0.32322707123348815,1.0018544868457422
-0.15516679,0.29712881491798115,0.8705365935371451
-0.32550827,0.2875402462714375,0.7912209539278309
0.40682545,-0.12110093295580503,0.904530608385324
-0.53944075,-0.06944330731349839,0.8631299767962314
-1.1282587,-0.2652903101599319,0.9689124289455283
0.8447505,-0.45872898339976753,0.7472040814193274
-0.16321446,-0.7082861650499098,0.8439884146168806
-0.8204371,-0.28506472720417614,0.9710665308262982
-0.3362383,-0.1268753297155448,0.7669049807702181
-0.6661909,-0.8079786550039875,0.9056274788276294
-2.0450172,-0.03820808732530863,0.9120256808712777
-1.6734854,-0.8482038473764948,0.7552603710283253
-0.50255597,-0.4834160145131013,0.8898335393751181
-0.5562067,-0.550651928100857,0.8564413555475657
0.306901,-0.055591159585048615,0.8207752186972902
-1.458882,-0.5923563575956992,0.7904986141497049
0.7428137,0.2935294680583869,1.0180151435887077
2.064636,0.6342478912147587,0.9901689876849675
-0.34495658,-0.03338708242605288,0.8112428401132982
0.16472608,-0.7584804383695897,0.7714137616207398
-0.35971043,0.3728024744787527,0.9858011993555109
-0.93981016,-0.36715763813033053,0.8389840896137521
0.6261233,0.4794852849157136,1.104972496104687
2.3724577,0.9771109651075967,1.032157615718444
-1.0464411,-0.16694291093387192,0.8680016828303394
0.11644065,0.3938140444146338,0.9512179494542212
-0.5495002,0.08850077312980753,0.8862509296332525
-1.0082147,0.12067908687846626,0.9759013109286727
-0.16790889,0.20782987505196376,0.7619472777699657
0.36927006,-0.14162954801729064,0.7707011920240306
-0.2772225,-0.02112794796518586,0.7864526181279269
-0.5159686,0.00781628116532355,0.8865978500638236
-1.2067229,-0.8897247038820726,0.75307892034389
0.8212781,0.6534177963406642,0.9824998089693768
0.48394868,-0.3208069193159951,0.7467041524265433
-0.09078567,-0.14762583050339,0.9283715036331307
-0.6306473,-0.20055691890508348,0.8053694727353382
-0.7976355,-0.16222476128430607,0.9782054024201244
0.36994064,-0.22701112693877523,0.9308423100302233
0.38871834,-0.020336628714089203,0.8789813713919932
-0.72520673,-0.5271543567794292,0.7927425083625487
-0.11895255,-0.5565013409855932,0.860405826617451
-1.5252745,-0.8550675234235501,0.7508547761895851
1.2337188,0.06805223179055654,0.8578341155319976
0.6616669,0.869402908725995,0.7984175964323195
-0.8237903,-0.6732838816040071,0.795976385713948
-0.38519466,-0.2516102721964125,0.8004876516905861
-0.09346834,0.3426354557724211,1.157777108862948
2.6896682,0.7151007035614809,1.072364249139472
0.8977307,-0.28339972977521805,0.8058312774765409
-0.28996462,0.22312424384075397,0.7343903119940013
-0.6822863,-0.2105946701617509,0.9276566811357708
-0.5260281,-0.41514119325474574,0.9028571202523334
-0.37111136,0.09162201408507936,0.9649598273022154
1.6850564,-0.2733369142868122,0.846504769801191
-0.3570281,-0.22754426565465918,0.8880950658190201
-0.92572683,-0.86882840661906,0.7569468031803473
0.9071196,0.41147407006026954,1.387410937058065
-0.66015536,-0.43552394808541006,0.8077912665342746
-0.6863098,0.2799191849519771,0.9782944131740164
-0.4079962,-0.26100915479416764,0.9228607673182184
-0.6487544,-0.07687709574263936,0.9160865060061197
0.29147625,-0.3175704677889348,0.8016541888034715
0.22038893,0.438551571283951,0.8912528992861999
-1.1228935,-0.6635785039934058,0.7721544859929201
0.34177408,-0.11274375080610435,0.8443852723368911
-0.5837027,0.07376813602294215,0.7521827901430351
-1.2677507,-0.010104720033905473,0.8580973733224989
-0.6373535,0.1747317200400615,1.1151508351072563
-1.859251,-0.3818456427745369,0.7537019941595653
0.4323097,0.12595392445897213,0.8053659341510774
0.33104372,0.2647174135066467,0.8543880760884536
-0.24905564,0.041990494259407284,0.7929474601826642
0.6227701,0.5644451135241993,0.8569754472858815
-1.7948701,0.1535208141723353,0.9093573392157744
2.259791,0.0795502340834646,0.8045922423022925
0.40883756,0.5496341928895531,0.9322531919333138
1.7206001,0.4445689460899977,0.7544210662483584
-0.88683,-0.17784762066571136,0.9880121879697339
0.22776604,1.086578241922582,0.9575526660911101
-0.6420479,-0.37406120915516583,0.9601316892830536
-0.406655,0.41412801818465084,0.9088852398380265
0.8320084,-0.03100987579020622,0.883996656577092
-0.029087218,-0.14359194400887842,0.8141550445094365
0.38938892,-0.5820777919648911,0.7746407935252329
-0.5253575,0.03992406287888871,0.8717711428795692
-1.0417466,0.09717643481865061,1.0064344600062378
