index,observed_response_value,average_of_predicted_response_values,standard_deviation_of_predicted_response_values
66289,-0.09486731,-0.10359711921447891,0.8260107343564189
66290,-0.1538967,-0.3834695837931012,0.8514859733571126
66291,0.15533574,0.07721025785359376,0.8277394712380413
66292,-0.66101116,-0.3282808303362428,0.809458377152889
66293,0.32236156,-0.6226988813475226,0.8201870889352633
66294,0.5490875,-0.2505350061418096,0.8215900236902345
66295,0.7570312,0.47919399850331973,0.9128528294700287
66296,-1.3868017,-0.2341574937174472,0.8152299793862267
66297,-0.513438,0.10592238280718647,0.8438484887510229
66298,-0.41349104,-0.05798373167250739,0.8418789017306657
66299,0.6765366,0.4682494196704942,0.8383444125485086
66300,-1.6410298,-0.1799371700230585,0.8257340289756162
66301,0.4156008,0.639337432088376,1.0637376074491511
66302,1.2111535,0.1274481116875114,0.8129970951289875
66303,-0.12639423,-0.05199652016077089,0.8466615634654311
66304,-1.3364929,-0.02390884919893559,0.8344522198964646
66305,-0.052607965,-0.2972496707226504,0.8536198908296674
66306,-1.3928387,-0.03829838637210686,0.8171795165733059
66307,2.4313135,0.5983790540934415,0.9915712312250847
66308,-0.03650898,-0.008371980771102272,0.8869463817326786
66309,0.26400322,0.9117806880407047,1.0979713116409138
66310,-0.038521513,0.35847538904597964,1.0710922187509024
66311,-1.3787522,-0.8120645675486106,0.7976813055079529
66312,1.8993801,-0.6714896881982692,0.8077589340033581
66313,-0.620764,-0.11388140601962593,0.8295644689967094
66314,-0.6563156,-0.40074729879150384,0.8255009746139865
66315,-0.7475424,-0.8068603798207721,0.8108416587964412
66316,-0.041875202,-0.23661628957516256,0.827278028133715
66317,2.8673246,0.6691467391359216,0.9315027759546317
66318,-0.3289717,-0.7848480808276016,0.8088462150687807
66319,1.4626982,0.966518166449849,1.0363495627496746
66320,-0.5389279,0.16954744265631042,0.9970210832998252
66321,0.22241461,0.9965321767402998,0.9514312498052834
66322,0.67720765,-0.14430653311134914,0.9627313220503436
66323,0.88917613,0.1234555990130926,0.8345759423932171
66324,0.38340315,0.18801079472931564,0.8443703466576579
66325,0.0654505,0.44713245218583586,0.8195999391329336
66326,0.6423268,0.4726496531943466,0.9029135609124819
66327,-0.17804486,-0.47290133622367087,0.8066088496525731
66328,-0.38196382,0.4131608134576435,0.9270019915940575
66329,0.9575962,0.48898392353979125,1.0044609160704232
66330,1.1413918,0.4670763517415031,0.9219013128779969
66331,-0.4658121,0.2229945990532573,0.8165551712635424
66332,1.1561489,0.15412332844487475,0.9058337592458634
66333,0.638302,-0.6791977819787793,0.793624978434019
66334,-0.21762125,-0.22511774564897216,0.8571419328136352
66335,-0.0827934,-0.10160402248412773,0.8488143385633838
66336,-1.298258,0.29297219806109565,0.8442680912221812
66337,-0.5221582,-0.6723534890556638,0.7923695217823339
