observed_response_value,average_of_predicted_response_values,standard_deviation_of_predicted_response_values
-1.122578,0.12419621988542487,0.9677666139269919
3.8623729,0.26685025937174156,0.9832135878741739
1.031602,0.4539555319247538,0.9963989613596005
-0.73139256,0.275236373874001,0.9623526621737769
0.52066636,0.250427432293659,0.9722773720158786
0.8499804,0.3920614972543873,0.9790846090713429
0.80208015,0.14276828828140767,0.9914471311127939
-1.1930978,0.2128245188342681,0.971437450205482
0.960417,0.36764253030923494,0.9820407991925675
-1.4119753,0.31020921008957947,0.9676258606731598
-0.4805817,0.11539498424272851,0.9816031737285206
0.20199667,0.19827015061639439,0.9769398560267991
0.6018305,0.24014783098914189,0.9557025392198217
0.8759264,0.26666076701065816,0.9796986611842139
0.581207,0.12437508858417635,0.9720423138465144
-0.405405,0.1913056261071592,0.9689769929912454
0.4973813,0.44172398624135395,0.9868995408620423
-0.13796206,0.26237100899555515,0.9771359859281593
-0.5098542,0.20805572985472054,0.9750964104172117
-0.3116002,0.26027214625284445,0.9764981965858273
-1.5683163,0.13981277991656163,0.9913010963301572
-0.2510599,0.1741615736306726,0.9748939141833738
-0.31625748,0.22125392906709163,0.9687241416596077
0.27983463,0.332594692104975,0.9534511428016322
-0.16058156,0.19116579640771128,0.9825532789062458
-0.9063615,0.1645607195371758,0.9701974730432548
0.59650826,0.3140121894697286,0.9806451178553157
-1.7253227,0.19191507303881095,0.9766017424865
-0.17854412,0.4466202039903518,0.9805592314919003
-0.25771254,0.22985782480452963,0.9734203232174367
1.8206254,0.3026772032318429,0.9806564053521507
-0.5251555,0.22101703225082797,0.9783064834333188
-1.4465699,0.2708458051197747,0.9888638596243475
-0.3302283,0.1334942808326007,0.995381088353364
0.19600925,0.30234259313438905,0.9671904448414403
-0.58636135,0.13966310762600664,0.9967813384751878
1.5272365,0.1627580463856577,0.9567606262680127
-0.5896878,0.198502317399872,0.9796168896290686
-0.2982946,0.2644250123975495,0.9702931207346582
-0.71076906,0.24643647265571886,0.9545334951046456
-0.18386629,0.3642105928953722,1.0009785569872944
1.3835359,0.37123373948436333,0.9775916102758964
1.4720181,0.4386427488508394,0.9840234135254612
0.6796684,0.0960228180366809,0.9546853300236623
1.2518101,0.1940660975576942,0.9588360035818585
-0.77596664,0.38061829058536206,0.9766741806061373
-0.23841952,0.353828557288225,0.970038168886369
-0.41604936,0.17008986026194384,0.9870044229590732
0.55060405,0.14515763335232998,0.9530336769247492
0.9198349,0.2562737664402921,0.9549145184731705
-0.7021204,0.18703019910849314,0.9600368689533365
-0.032847654,0.31268614824330127,0.9862545986554456
1.2278601,0.3888898669175543,0.9816355752945818
