Docking_Score,MolWt,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,LabuteASA,FractionCSP3,TPSA,HeavyAtomCount,NumHAcceptors,NumHDonors,MolLogP,MolMR
-7.277,328.43400000000014,0.31506066730372273,-0.3942419112152533,0.3942419112152533,0.31506066730372273,131.3967607503089,0.5333333333333333,95.5,22.0,4.0,3.0,1.6113,85.41600000000004
-7.569,390.49400000000026,0.23498859178320372,-0.3777738701241247,0.3777738701241247,0.23498859178320372,158.6939537609835,0.5,96.07000000000001,26.0,9.0,1.0,2.11358,99.71270000000003
-6.727,483.66100000000034,0.23805817929518508,-0.3295556761721445,0.3295556761721445,0.23805817929518508,210.27230589702938,0.2413793103448276,49.67,35.0,4.0,2.0,4.124120000000004,145.9023999999998
-5.489,347.5040000000002,0.14730373851342354,-0.4908928017754397,0.4908928017754397,0.14730373851342354,147.97902269657303,0.5263157894736842,35.790000000000006,24.0,4.0,1.0,2.4782,96.69770000000005
-4.594,373.42400000000015,0.2308003753228233,-0.45359546944553153,0.45359546944553153,0.2308003753228233,157.8215525619183,0.42857142857142855,51.16000000000001,27.0,5.0,1.0,3.0965000000000016,98.05980000000005
-3.848,401.51300000000003,0.27213712110456656,-0.3363315933746079,0.3363315933746079,0.27213712110456656,161.5237639438815,0.2631578947368421,72.27000000000001,27.0,6.0,0.0,2.8599000000000014,106.02930000000002
-6.063,277.353,0.23024198923761302,-0.3687110056339214,0.3687110056339214,0.23024198923761302,114.9211672756291,0.3333333333333333,86.69,19.0,6.0,1.0,1.2450399999999997,73.14140000000002
-6.157,419.59100000000024,0.3176549328492203,-0.48614295597098073,0.48614295597098073,0.3176549328492203,177.7910644769439,0.5454545454545454,63.69,29.0,5.0,1.0,4.685540000000005,117.54970000000006
-6.44,284.383,0.2218586222370146,-0.3795898993249626,0.3795898993249626,0.2218586222370146,124.71763934767749,0.4117647058823529,46.480000000000004,21.0,2.0,1.0,2.3851200000000006,84.13940000000004
-5.345,306.42999999999995,0.22247921821469016,-0.38468997167366425,0.38468997167366425,0.22247921821469016,132.81925998963095,0.6470588235294118,46.87,22.0,3.0,1.0,0.6864000000000015,85.65570000000005
-2.721,345.4070000000001,0.19726450006908916,-0.4329912517214446,0.4329912517214446,0.19726450006908916,148.14625684405632,0.0,61.88,25.0,5.0,0.0,4.841400000000004,98.4635
-6.076,351.4100000000001,0.2646657184950492,-0.47927500000198503,0.47927500000198503,0.2646657184950492,151.39673166342195,0.2631578947368421,92.78999999999999,26.0,5.0,2.0,3.3961000000000015,98.86440000000002
-6.762,291.185,0.4374961705229046,-0.4592266274519879,0.4592266274519879,0.4374961705229046,108.52415792066844,0.3,90.27000000000001,20.0,6.0,1.0,0.7747999999999999,57.5297
-7.552,342.37399999999997,0.25730012572181016,-0.3350550247323595,0.3350550247323595,0.25730012572181016,144.84974599251814,0.3333333333333333,66.4,25.0,4.0,0.0,1.7171399999999999,89.22650000000003
-1.483,558.2260000000003,0.29357994510634733,-0.44419316390544317,0.44419316390544317,0.29357994510634733,201.22891947520608,0.08333333333333333,66.9,32.0,4.0,0.0,6.391400000000004,129.05300000000003
-4.666,352.4810000000001,0.2427146780849346,-0.49008902646595004,0.49008902646595004,0.2427146780849346,140.53142701629136,0.4375,59.5,23.0,5.0,0.0,2.8496000000000015,90.38080000000005
-4.015,386.3970000000001,0.41598563585790416,-0.311466134390464,0.41598563585790416,0.311466134390464,159.45100645433754,0.23809523809523808,39.38,28.0,2.0,0.0,4.1807000000000025,99.84570000000002
-7.747,367.40500000000003,0.2715024643110424,-0.3245346878114984,0.3245346878114984,0.2715024643110424,151.2747252377428,0.10526315789473684,63.99,26.0,5.0,1.0,3.697420000000002,101.15270000000001
-6.036,318.3810000000001,0.22590982469488674,-0.38004924883056346,0.38004924883056346,0.22590982469488674,134.16646865962667,0.7333333333333333,92.96000000000001,23.0,7.0,1.0,1.5894999999999995,80.59870000000004
-7.111,347.3740000000001,0.26065461795300526,-0.3458775090665113,0.3458775090665113,0.26065461795300526,149.00295141063918,0.15,80.2,26.0,4.0,2.0,2.768300000000001,100.61090000000002
-6.708,282.7950000000001,0.26964965823962556,-0.34751409863081917,0.34751409863081917,0.26964965823962556,118.70418315722057,0.5714285714285714,46.43,19.0,2.0,2.0,0.9204999999999994,75.56790000000004
-8.067,309.07400000000007,0.4159868878382174,-0.26561608664276404,0.4159868878382174,0.26561608664276404,114.73582121943646,0.09090909090909091,34.89,19.0,3.0,0.0,3.5581000000000005,64.85600000000001
-6.856,343.471,0.3176930715210005,-0.34370311266940556,0.34370311266940556,0.3176930715210005,149.9215041380933,0.6,52.650000000000006,25.0,2.0,1.0,3.1801000000000013,98.09470000000006
-5.076,330.381,0.31441939198990065,-0.49175785014077916,0.49175785014077916,0.31441939198990065,128.51083436262016,0.5,84.5,22.0,4.0,2.0,0.9384,80.05720000000004
-8.511,288.3710000000001,0.25360998757564235,-0.3550075279205882,0.3550075279205882,0.25360998757564235,124.04179270731626,0.5,77.05000000000001,21.0,2.0,2.0,0.8063000000000002,79.80130000000003
-7.371,384.86699999999996,0.16323236575142017,-0.5079546484116916,0.5079546484116916,0.16323236575142017,162.5271733811707,0.3,63.410000000000004,27.0,6.0,1.0,3.414600000000002,103.5258
-5.231,263.337,0.2895188999467977,-0.4588797393352015,0.4588797393352015,0.2895188999467977,113.26333433463203,0.6666666666666666,42.68000000000001,19.0,3.0,0.0,2.654000000000001,71.16450000000005
-6.685,300.3179999999999,0.316280926207714,-0.4723878559953836,0.4723878559953836,0.316280926207714,127.47970903051184,0.3333333333333333,77.44000000000001,22.0,6.0,0.0,1.1736999999999997,77.75750000000004
-5.416,335.367,0.27677785556374385,-0.34031534852647477,0.34031534852647477,0.27677785556374385,143.756858296693,0.16666666666666666,100.63,25.0,5.0,2.0,2.0249399999999995,94.1334
-6.393,343.45200000000006,0.2512013802323133,-0.3655053396250225,0.3655053396250225,0.2512013802323133,145.0151971085278,0.3333333333333333,75.42999999999999,24.0,4.0,2.0,2.4926000000000004,96.20760000000001
-5.479,486.4990000000002,0.415934212885929,-0.4207019868458307,0.4207019868458307,0.415934212885929,196.6154626259796,0.2608695652173913,95.87,34.0,7.0,0.0,6.561900000000004,120.51700000000001
-4.889,297.362,0.24730909062124334,-0.41930815013638856,0.41930815013638856,0.24730909062124334,128.72947653855155,0.3125,68.77000000000001,22.0,6.0,1.0,2.4198200000000005,82.99970000000003
-7.564,293.38200000000006,0.2491115352906104,-0.36839166424447684,0.36839166424447684,0.2491115352906104,125.43040014041534,0.5882352941176471,38.33,21.0,2.0,1.0,3.598200000000002,80.32970000000005
-3.967,417.9370000000001,0.22074743631883448,-0.49084660610123976,0.49084660610123976,0.22074743631883448,176.574184148641,0.4090909090909091,65.04,29.0,5.0,2.0,3.1687200000000013,117.08950000000003
-7.315,305.40299999999996,0.2535713869033414,-0.3806062455445195,0.3806062455445195,0.2535713869033414,127.36220785688035,0.4666666666666667,56.67,21.0,5.0,1.0,1.7158000000000002,84.71080000000005
-5.91,390.37500000000006,0.17884910095811868,-0.5447292242028084,0.5447292242028084,0.17884910095811868,164.9476188529069,0.09523809523809523,120.39,29.0,7.0,2.0,2.3781999999999996,103.85999999999999
-4.191,360.4830000000001,0.3213405810993133,-0.3758483774076141,0.3758483774076141,0.3213405810993133,151.32037670745987,0.5555555555555556,57.7,25.0,5.0,1.0,3.013300000000001,100.22070000000004
-3.771,453.5170000000002,0.3073294460716312,-0.4543723844692083,0.4543723844692083,0.3073294460716312,177.30090317303942,0.3684210526315789,114.26,30.0,7.0,1.0,2.2148000000000003,111.38950000000004
-6.179,260.293,0.2545880489469395,-0.4687990233228657,0.4687990233228657,0.2545880489469395,110.20009152626295,0.2857142857142857,75.1,19.0,3.0,2.0,1.82316,71.15190000000001
-5.55,360.46,0.32133910525025855,-0.4259114896346634,0.4259114896346634,0.32133910525025855,147.61092152331003,0.23529411764705882,65.22,24.0,7.0,0.0,4.448300000000003,94.40700000000001
